fecha,M1 (datos),M2 (datos),Log_M1,Log_M2,45_degree_line
2017-01-01,3811392752.35,7603905361.09,22.06126051108514,22.75192781555748,22.06126051108514
2017-02-01,3798023997.55,7587829340.54,22.057746767786792,22.749811398062516,22.08126051108514
2017-03-01,3783838369.42,7540815124.36,22.054004773011293,22.743596119802216,22.10126051108514
2017-04-01,3812359642.5,7555699222.79,22.061514163120282,22.74556797938655,22.12126051108514
2017-05-01,3739860927.68,7559946604.3,22.042314262569167,22.74612996418963,22.14126051108514
2017-06-01,3805689580.4,7676700268.54,22.05976304190558,22.761455639245042,22.161260511085143
2017-07-01,3822383203.04,7739899619.69,22.064139940177064,22.76965455543165,22.181260511085142
2017-08-01,3777435858.4,7698045371.72,22.05231127205966,22.764232285752666,22.20126051108514
2017-09-01,3859419791.22,7846367662.41,22.073782695969555,22.783316543489313,22.22126051108514
2017-10-01,3920568309.01,7935068634.34,22.089502457028928,22.794557840457635,22.24126051108514
2017-11-01,3994732947.19,8061705113.86,22.108242567169352,22.810390923678945,22.26126051108514
2017-12-01,4264017581.97,8394065090.48,22.173477647152765,22.850790756233273,22.28126051108514
2018-01-01,4075871703.85,8236764222.43,22.12835047581789,22.831873412291642,22.30126051108514
2018-02-01,4075774260.99,8262795220.3,22.128326568287942,22.835028771628117,22.321260511085143
2018-03-01,4138523788.28,8306747097.2,22.143604988317183,22.840333924799154,22.341260511085142
2018-04-01,4142745967.14,8399109746.04,22.144624681999563,22.851391554564838,22.361260511085142
2018-05-01,4154520320.45,8467697884.13,22.147462812247625,22.859524512224286,22.38126051108514
2018-06-01,4286011488.37,8567406925.37,22.178622414435175,22.871230947968005,22.40126051108514
2018-07-01,4173476691.65,8434727583.59,22.152015264394617,22.855623256464312,22.42126051108514
2018-08-01,4197524436.42,8506482676.28,22.157760768559537,22.86409437755703,22.44126051108514
2018-09-01,4159127404.13,8508985694.16,22.14857113059457,22.864388582552575,22.46126051108514
2018-10-01,4204528593.23,8549110646.41,22.159428017839623,22.869093096521095,22.481260511085143
2018-11-01,4350488324.33,8701307648.23,22.19355393421316,22.88673915570663,22.501260511085142
2018-12-01,4492216319.62,8815667166.35,22.225612029301583,22.899796335281092,22.521260511085142
2019-01-01,4323954421.05,8702653500.0,22.18743619574506,22.886893816103903,22.54126051108514
2019-02-01,4306875852.8,8744413483.06,22.183478618084724,22.891680874335286,22.56126051108514
2019-03-01,4315849487.16,8826482785.66,22.185560010509004,22.90102244668978,22.58126051108514
2019-04-01,4290374415.06,8776012097.96,22.17963984231575,22.89528793844619,22.60126051108514
