"date","value"
2025-01-10,20.7045
2025-01-13,20.8012
2025-01-14,20.482
2025-01-15,20.4875
2025-01-16,20.7732
2025-01-17,20.718
2025-01-20,20.543
2025-01-21,20.6358
2025-01-22,20.5397
2025-01-23,20.3943
2025-01-24,20.2255
2025-01-27,20.7002
2025-01-28,20.5668
2025-01-29,20.5677
2025-01-30,20.4497
2025-01-31,20.6068
2025-02-04,20.4268
2025-02-05,20.6363
2025-02-06,20.5125
2025-02-07,20.5512
2025-02-10,20.6693
2025-02-11,20.568
2025-02-12,20.4917
2025-02-13,20.4978
2025-02-14,20.3082
2025-02-17,20.283
2025-02-18,20.2617
2025-02-19,20.4208
2025-02-20,20.3733
2025-02-21,20.3448
2025-02-24,20.464
2025-02-25,20.4683
2025-02-26,20.4277
2025-02-27,20.4722
2025-02-28,20.508
2025-03-03,20.4333
2025-03-04,20.8518
2025-03-05,20.3893
2025-03-06,20.2777
2025-03-07,20.283
2025-03-10,20.2922
2025-03-11,20.3388
2025-03-12,20.1828
2025-03-13,20.0848
2025-03-14,19.8693
2025-03-18,19.9845
2025-03-19,20.0553
2025-03-20,20.1345
2025-03-21,20.2163
2025-03-24,20.1123
2025-03-25,20.0762
2025-03-26,20.0963
2025-03-27,20.3182
2025-03-28,20.4003
2025-03-31,20.438
2025-04-01,20.3587
2025-04-02,20.4568
2025-04-03,19.9708
2025-04-04,20.501
2025-04-07,20.6947
2025-04-08,20.6867
2025-04-09,20.7653
2025-04-10,20.492
